Hostname,Operating System,Model,Serial Number,CPUs,CPU Cores,Total Threads,CPU Model,RAM (GB),Disk Size
d275-kblu,Ubuntu 16.04.3 LTS,none for now,none for now,8,4,8,Genuine Intel(R) CPU 0000 @ 1.70GHz,7.7 GB,none for now
fxe16lin03,Red Hat Enterprise Linux Server release 6.2 (Santiago),none for now,none for now,32,8,32,Genuine Intel(R) CPU  @ 2.60GHz,62.9 GB,none for now
fxtcarilab011,Ubuntu 16.04.2 LTS,none for now,none for now,8,4,8,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,61.2 GB,none for now
fxtcarilab012,Ubuntu 16.04.2 LTS,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,61.2 GB,none for now
fxtcarilab014,Red Hat Enterprise Linux Server release 5.11 (Tikanga),none for now,none for now,32,8,32,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,62.9 GB,none for now
fxtcarilab015,Microsoft Windows [Version 10.0.14393],HP ProLiant DL360p Gen8,MXQ3510B1X,2,8,,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,63,558
fxtcarilab016,Ubuntu 14.04.5 LTS,none for now,none for now,32,8,32,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,62.9 GB,none for now
fxtcarilab017,Red Hat Enterprise Linux Server release 5.11 (Tikanga),none for now,none for now,32,8,32,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,62.9 GB,none for now
fxtcarilab018,Red Hat Enterprise Linux Server release 5.11 (Tikanga),none for now,none for now,32,8,32,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,62.9 GB,none for now
fxtcarilab019,Red Hat Enterprise Linux Server release 6.5 (Santiago),none for now,none for now,4,2,4,Intel(R) Core(TM) i5-4250U CPU @ 1.30GHz,7.6 GB,none for now
antcargen001,Red Hat Enterprise Linux Server release 7.2 (Maipo),none for now,none for now,12,6,12,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,47.0 GB,none for now
fxe36lin01,Ubuntu 16.04.4 LTS,none for now,none for now,72,18,72,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,62.8 GB,none for now
antcargen002,SUSE Linux Enterprise Server 12,none for now,none for now,12,6,12,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,47.2 GB,none for now
anfgaskx1014,CentOS Linux release 7.4.1708 (Core),none for now,none for now,72,18,72,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,30.9 GB,none for now
anfgabdwlin02,Ubuntu 18.04.1 LTS,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,15.5 GB,none for now
anfgabdwlin03,Ubuntu 16.04.3 LTS,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,15.5 GB,none for now
fxepcvmh001,Ubuntu 16.04.5 LTS,none for now,none for now,24,6,24,Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz,11.7 GB,none for now
antcarilab073,CentOS Linux release 7.4.1708 (Core),none for now,none for now,10,5,10,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,31.3 GB,none for now
anfgakbllin01,Debian GNU/Linux 9.4 (stretch),none for now,none for now,8,4,8,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,31.3 GB,none for now
antcarilab079,Red Hat Enterprise Linux Server release 6.9 (Santiago),none for now,none for now,10,5,10,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,15.6 GB,none for now
rosebud,openSUSE 13.2 (Harlequin) (x86_64),none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,16.2 GB,none for now
anfgaskllin02,Ubuntu 16.04.4 LTS,none for now,none for now,8,4,8,Intel(R) Core(TM) i7-6770HQ CPU @ 2.60GHz,31.3 GB,none for now
anfgaskllin01,Ubuntu 16.04.5 LTS,none for now,none for now,8,4,8,Intel(R) Core(TM) i7-6770HQ CPU @ 2.60GHz,31.3 GB,none for now
asramiretest01,CentOS Linux release 7.4.1708 (Core),none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,7.5 GB,none for now
fxamdlin01,Red Hat Enterprise Linux Server release 6.5 (Santiago),none for now,none for now,4,2,4,"AMD A10 PRO-7850B R7, 12 Compute Cores 4C+8G",14.6 GB,none for now
antcarilab090,CentOS Linux release 7.4.1708 (Core),none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.7 GB,none for now
10.241.130.146,Ubuntu 14.04 LTS,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,15.6 GB,none for now
fxilab162,Ubuntu 14.04.5 LTS,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,15.6 GB,none for now
fxilab160,Ubuntu 14.04 LTS,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,15.6 GB,none for now
fxilab161,Ubuntu 14.04 LTS,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,15.6 GB,none for now
fxilab164,Ubuntu 14.04 LTS,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,31.3 GB,none for now
anstcarchn,Ubuntu 18.10,none for now,none for now,4,2,4,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,7.8 GB,none for now
anclck01,CentOS release 6.9 (Final),none for now,none for now,32,16,32,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,15.6 GB,none for now
d326-hc1,Ubuntu 16.04.5 LTS,none for now,none for now,56,28,56,Intel(R) Xeon(R) Platinum 8176 CPU @ 2.10GHz,45.8 GB,none for now
antcargen003,Microsoft Windows [Version 6.3.9600],HP ProLiant DL320e Gen8 v2,USE351NEKN,1,,,,15,558
d224-bdw-tp,Microsoft Windows [Version 6.3.9600],LENOVO 20DQ001MUS,MP08BRRJ,1,,,,7,238
fxtcarilab021,Red Hat Enterprise Linux Server release 5.11 (Tikanga),none for now,none for now,24,6,24,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,47.1 GB,none for now
fxtcarilab020,Fedora release 27 (Twenty Seven),none for now,none for now,24,6,24,Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz,23.5 GB,none for now
fxtcarilab022,Red Hat Enterprise Linux Server release 5.11 (Tikanga),none for now,none for now,24,6,24,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,23.5 GB,none for now
antcarbbcfg01,CentOS Linux release 7.2.1511 (Core),none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.7 GB,none for now
antceclx1022,CentOS Linux release 7.4.1708 (Core),none for now,none for now,96,24,96,Genuine Intel(R) CPU 0000%@,30.9 GB,none for now
antcarilab080,CentOS Linux release 7.4.1708 (Core),none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.7 GB,none for now
fxilab149,Ubuntu 14.04 LTS,none for now,none for now,8,4,8,Intel(R) Core(TM) i7-4770R CPU @ 3.20GHz,15.6 GB,none for now
fxe12lin21,Red Hat Enterprise Linux Server release 6.5 (Santiago),none for now,none for now,24,6,24,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,15.4 GB,none for now
fxe12lin20,Red Hat Enterprise Linux Server release 6.5 (Santiago),none for now,none for now,24,6,24,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,15.4 GB,none for now
fxsarathna2,Ubuntu 16.04.5 LTS,none for now,none for now,16,8,16,Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz,47.0 GB,none for now
d336-kbltoe,,none for now,none for now,8,4,8,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,15.5 GB,none for now
anltcarmon01,,none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.9 GB,none for now
angpcknl04,,none for now,none for now,256,64,256,Intel(R) Genuine Intel(R) CPU 0000 @ 1.30GHz,110.0 GB,none for now
angpcknl02,CentOS Linux release 7.3.1611 (Core),none for now,none for now,256,64,256,Intel(R) Genuine Intel(R) CPU 0000 @ 1.30GHz,110.0 GB,none for now
angpcknl03,,none for now,none for now,272,68,272,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,110.0 GB,none for now
angpcknl01,CentOS Linux release 7.3.1611 (Core),none for now,none for now,256,64,256,Intel(R) Genuine Intel(R) CPU 0000 @ 1.30GHz,110.0 GB,none for now
ansatskl1004,CentOS Linux release 7.3.1611 (Core),none for now,none for now,36,18,36,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,251.4 GB,none for now
anpfsklfpga01,Ubuntu 16.04.5 LTS,none for now,none for now,96,24,96,Genuine Intel(R) CPU 0000%@,62.6 GB,none for now
d282-kblu,Ubuntu 17.10,none for now,none for now,8,4,8,Genuine Intel(R) CPU 0000 @ 1.70GHz,7.7 GB,none for now
fxknllin21,,none for now,none for now,256,64,256,Intel(R) Genuine Intel(R) CPU 0000 @ 1.30GHz,102.0 GB,none for now
fxknllin23,,none for now,none for now,256,64,256,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,109.9 GB,none for now
fxilab124,Red Hat Enterprise Linux Server release 7.0 (Maipo),none for now,none for now,24,6,24,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,47.0 GB,none for now
antcarilab078,Microsoft Windows [Version 10.0.14393],"VMware, Inc. VMware Virtual Platform",VMware-56 4d b3 11 f8 5d 19 f3-7c b8 0a 86 ce 01 0f d7,2,1,,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3,199
anpfkbl01,Ubuntu 16.04.2 LTS,none for now,none for now,4,2,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,15.6 GB,none for now
antsatel05,Ubuntu 18.10,none for now,none for now,88,22,88,Intel(R) Xeon(R) CPU E5-2699 v4 @ 2.20GHz,125.8 GB,none for now
antsatel06,Ubuntu 18.10,none for now,none for now,88,22,88,Intel(R) Xeon(R) CPU E5-2699 v4 @ 2.20GHz,125.8 GB,none for now
antsatel01,Ubuntu 18.04.1 LTS,none for now,none for now,48,12,48,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,94.3 GB,none for now
antsatel02,Ubuntu 18.04.1 LTS,none for now,none for now,6,6,6,Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz,62.8 GB,none for now
antsatel03,Ubuntu 16.04.2 LTS,none for now,none for now,6,6,6,Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz,62.8 GB,none for now
fxsatwin02,Microsoft Windows [Version 6.3.9600],HP ProLiant DL360 Gen9,MXQ53902ML,2,8,,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,127,5029
fxsatwin01,Microsoft Windows [Version 6.3.9600],HP ProLiant DL360 Gen9,USE513MBWA,2,8,,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,127,5029
fxhsw16lin003,Fedora release 25 (Twenty Five),none for now,none for now,16,8,16,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,31.3 GB,none for now
fxhsw16lin002,SUSE Linux Enterprise Server 12,none for now,none for now,16,8,16,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,31.4 GB,none for now
fxhsw16lin001,Ubuntu 18.04.1 LTS,none for now,none for now,16,8,16,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,31.3 GB,none for now
10.241.131.164,Ubuntu 16.04.3 LTS,none for now,none for now,48,24,48,Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz,45.8 GB,none for now
fxcoral001,CentOS Linux release 7.1.1503 (Core),none for now,none for now,32,8,32,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,31.3 GB,none for now
fxcoral003,CentOS Linux release 7.1.1503 (Core),none for now,none for now,32,8,32,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,31.3 GB,none for now
fxcoral002,CentOS Linux release 7.1.1503 (Core),none for now,none for now,32,8,32,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,31.3 GB,none for now
fxcoral004,CentOS Linux release 7.1.1503 (Core),none for now,none for now,32,8,32,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,31.3 GB,none for now
anfgaskxlin1003,SUSE Linux Enterprise Server 12 SP2,none for now,none for now,72,18,72,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,93.1 GB,none for now
fxpowerdev002,Ubuntu 16.04.3 LTS,none for now,none for now,8,4,8,Intel(R) Xeon(R) CPU           E5440  @ 2.83GHz,15.7 GB,none for now
